id	name
1	20 лет Октября - Чапаева
2	Б.Хмельницкого
3	Беговая частный сектор
4	Березовая роща
5	Больница Электроника - Процессор
6	Боровое
7	ВАИ
8	Витрука - Землячки
9	ВОГРЭС - Машмет
10	Волгоградская - Монтажный проезд
11	Газовая - Пивзавод
12	Гормолзавод - 9 января
13	Дорожная - Пешестрелецкая
14	Ильича - ВОГРЭС
15	Космонавтов - Г.Сибиряков
16	Ломоносова - СХИ
17	Ломоносова (Детская больница)
18	Масловка
19	Московский пр - Динамо
20	Мостозавод
21	Никольское
22	Острогожская - Цирк
23	Отрожка
24	Памятник Славы - Шишкова
25	Пешестрелецкая - Бахметьева
26	Подгорное
27	Придонской
28	Репное
29	Северный авторынок
30	Северный район
31	Северо-Восточный - Ильича
32	Солнечная - Московский пр
33	Сомово
34	Студ.городок ВПИ - Областная больница
35	Центр
36	Чертовицы
37	Шилово
38	Юго-Западный
39	Ямное
40	Яр
