id	name	description	suburb_id	street_type_id
11312	1 апреля	NULL	2	1
11313	1 Мая	NULL	1	1
11314	100 Стр.дивизии	NULL	NULL	1
11315	121 Стр.дивизии	NULL	NULL	1
11316	17 сентября	NULL	NULL	1
11317	19 Стр.дивизии	NULL	NULL	1
11318	20 лет ВЛКСМ	NULL	NULL	1
11319	20 лет Октября	NULL	NULL	1
11320	206 Стр.дивизии	NULL	3	1
11321	232 Стр.дивизии	NULL	4	1
11322	235 километр		20	1
11323	25 Октября		NULL	1
11324	25 Января	NULL	NULL	1
11325	3 Интернационала	NULL	NULL	1
11326	30 лет Октября	NULL	NULL	2
11327	30 лет Октября	NULL	NULL	1
11328	30 октября	NULL	5	1
11329	303 Стр.дивизии	NULL	NULL	1
11330	40 лет Октября	NULL	NULL	1
11331	45 Стр.дивизии	NULL	NULL	1
11332	5 декабря	NULL	NULL	1
11333	50 лет ВЛКСМ	NULL	5	1
11334	50 лет Октября	NULL	2	1
11335	50 лет Советской армии	NULL	5	1
11336	50 лет Советской власти	NULL	5	1
11337	6 Стр.дивизии	NULL	6	1
11338	60 лет ВЛКСМ	NULL	NULL	1
11339	60-й Армии	NULL	NULL	1
11340	8 Марта	NULL	1	3
11341	8 Марта	NULL	NULL	1
11342	9 Мая	NULL	7	1
11343	Святого Тихона Амафунского		1	1
11344	9 Января	NULL	8	3
11345	Арбатская		8	1
11346	9 Января	NULL	NULL	1
11347	Абрикосовая	NULL	9	1
11348	Абрикосовый	NULL	10	3
11349	Абызова	NULL	NULL	1
11350	Авиастроителей	NULL	NULL	4
11351	Авиационная	NULL	NULL	1
11352	Автогенный	NULL	NULL	3
11353	Автоматчиков	NULL	NULL	3
11354	Адмиралтейская	NULL	NULL	5
11355	Азовская	NULL	NULL	1
11356	Айвазовского	NULL	NULL	1
11357	Айдаровская	NULL	NULL	1
11358	Аксакова	NULL	NULL	1
11359	Алданская	NULL	NULL	1
11360	Александровский	NULL	1	3
11361	Алексеевского	NULL	NULL	1
11362	Алмаатинская	NULL	2	1
11363	Алтайский	NULL	NULL	3
11364	Альпийский	NULL	NULL	3
11365	Алябьева	NULL	10	1
11366	Амбулаторная	NULL	3	1
11367	Ангарский	NULL	NULL	3
11368	Ангелиной	NULL	5	3
11369	Андреева	NULL	NULL	1
11370	Ани Максимовой	NULL	6	1
11371	Ани Скоробогатько	NULL	NULL	3
11372	Аннинский	NULL	NULL	3
11373	Анри Барбюса	NULL	NULL	1
11374	Антокольского	NULL	NULL	3
11375	Антокольского	NULL	NULL	1
11376	Антонова-Овсеенко	NULL	NULL	1
11377	Апраксина	NULL	1	1
11378	Арзамасская	NULL	NULL	1
11379	Арсенальная	NULL	NULL	1
11380	Артамонова	NULL	NULL	1
11381	Артековская	NULL	NULL	1
11382	Артема	NULL	NULL	3
11383	Артема	NULL	NULL	1
11384	Артиллерийская	NULL	NULL	1
11385	Архитектора Быховского		1	1
11386	Архангельский	NULL	7	2
11387	Архипова	NULL	NULL	3
11388	Архитектора Троицкого	NULL	NULL	1
11389	Астраханская	NULL	NULL	1
11390	Астраханский	NULL	NULL	3
11391	Аэродромная	NULL	11	1
12557	Афанасьева		4	1
11393	Б.Манежная		NULL	1
11394	Б.Советская		12	1
11395	Б.Стрелецкая		NULL	1
11396	Б.Хмельницкого	NULL	NULL	3
11397	Б.Хмельницкого	NULL	NULL	1
11398	Б.Чернавская		NULL	1
11399	Бабушкина	NULL	NULL	3
11400	Багратиона	NULL	NULL	3
11401	Багратиона	NULL	NULL	1
11402	Багрицкого	NULL	NULL	1
11403	Багряная	NULL	NULL	1
11404	Баженова	NULL	NULL	3
11405	Базарная гора	NULL	NULL	1
11406	Базовая	NULL	NULL	1
11407	Байкальский	NULL	NULL	3
11408	Бакинский	NULL	NULL	3
11409	Бакунина	NULL	NULL	1
11410	Балашовская	NULL	NULL	1
11411	Балтийский	NULL	NULL	3
11412	Барнаульская	NULL	NULL	1
11413	Баррикадная	NULL	NULL	1
11414	Бархатный бугор	NULL	NULL	1
11415	Батуринская	NULL	NULL	1
11416	Бауманский	NULL	NULL	3
11417	Бахметьева	NULL	NULL	1
11418	Беговая	NULL	NULL	1
11419	Безоблачная	NULL	10	1
11420	Белинского	NULL	NULL	3
11421	Белинского	NULL	NULL	1
11422	Белогородская	NULL	NULL	1
11423	Беломорская	NULL	NULL	1
11424	Белорусская	NULL	7	1
11425	Белостокская	NULL	NULL	1
11426	Белый колодец	NULL	11	1
11427	Беляева	NULL	13	3
11428	Беляева	NULL	13	1
11429	Берег реки Дон	NULL	11	1
11430	Берегового	NULL	4	1
11431	Береговой	NULL	NULL	3
11432	Бережная	NULL	3	1
11433	Березки	NULL	8	3
11434	Березовая	NULL	2	1
11435	Березовая	NULL	14	1
11436	Березовая Роща	NULL	NULL	1
11437	Березовская	NULL	NULL	1
11438	Березовый	NULL	2	3
11439	Березовый	NULL	7	3
11440	Беспаловой	NULL	NULL	1
11441	Бессарабский	NULL	NULL	3
11442	Бестужева	NULL	NULL	3
11443	Бестужева	NULL	NULL	1
11444	Бетховена	NULL	NULL	1
11445	Бехтерева	NULL	NULL	1
11446	Благодатный	NULL	NULL	3
11447	Ближняя	NULL	14	1
11448	Бобровский	NULL	NULL	3
11449	Бовкуна	NULL	NULL	1
11450	Богатырская	NULL	NULL	1
11451	Богачева	NULL	NULL	1
11452	Богучарская	NULL	NULL	1
11453	Богучарский	NULL	NULL	2
11454	Боровская	NULL	NULL	1
11455	Бородина	NULL	NULL	1
11456	Ботанический	NULL	NULL	3
11457	Братская	NULL	NULL	1
11458	Братьев Марьиных	NULL	1	1
11459	Бригадный	NULL	NULL	3
11460	Бродского	NULL	NULL	3
11461	Броневая	NULL	NULL	1
11462	Брусилова	NULL	NULL	3
11463	Брусилова	NULL	NULL	1
11464	Брусничный	NULL	3	1
11465	Брянская	NULL	NULL	1
11466	Брянский	NULL	NULL	3
11467	Воинской Славы		15	11
11468	Победы		NULL	11
11469	Бунакова	NULL	NULL	1
12572	Придорожная		16	1
11471	Бурденко	NULL	NULL	1
11472	Бучкури художника	NULL	NULL	1
11473	В.Фигнер	NULL	NULL	3
11474	В.Фигнер	NULL	NULL	1
11475	Вавилова	NULL	NULL	1
11476	Вагонная	NULL	NULL	1
11477	Вагонный	NULL	NULL	3
11478	Вайцеховского	NULL	NULL	1
11479	Валуйский	NULL	NULL	3
11480	Варейкиса	NULL	NULL	1
11481	Варшавская	NULL	NULL	1
11482	Василия Кубанева	NULL	3	1
11483	Васильевская	NULL	9	1
11484	Васильковая	NULL	11	1
11485	Ватутина	NULL	NULL	1
11486	Ведугская	NULL	NULL	1
11487	Веневитиновская	NULL	NULL	1
11488	Венецианова	NULL	NULL	1
11489	Венский	NULL	NULL	3
11490	Верещагина	NULL	NULL	3
11491	Верещагина	NULL	NULL	1
11492	Верхняя	NULL	NULL	1
11493	Веселая	NULL	1	1
11494	Веселовского	NULL	NULL	1
12575	Вешняковская		16	1
11496	Весенняя	NULL	NULL	1
11497	Весны	NULL	8	1
11498	Вешних вод	NULL	11	1
11499	Виноградная	NULL	11	1
11500	Виноградный	NULL	11	3
11501	Виноградова	NULL	NULL	3
11502	Витебская	NULL	NULL	1
11503	Витебский	NULL	NULL	3
11504	Витрука	NULL	NULL	1
11505	Вишневый	NULL	NULL	3
11506	Вл.Невского	NULL	NULL	1
11507	Владимирская	NULL	11	1
11508	ВОГРЭСовского моста	NULL	NULL	9
11509	Возрождения	NULL	NULL	3
11510	Возрождения	NULL	NULL	1
11511	Войкова	NULL	NULL	1
11512	Вокзальная	NULL	NULL	1
11513	Вокзальный	NULL	NULL	3
11514	Волгоградская	NULL	NULL	1
11515	Волгодонская	NULL	NULL	1
11516	Волжская	NULL	NULL	1
11517	Волкова	NULL	NULL	1
11518	Волнухина	NULL	NULL	1
11519	Вологодская	NULL	NULL	1
11520	Володарского	NULL	NULL	1
11521	Волоколамская	NULL	NULL	1
11522	Волочаевский	NULL	NULL	3
11523	Волшебный		3	3
11524	Вольная	NULL	NULL	1
11525	Вольный	NULL	NULL	3
11526	Воробьевская	NULL	9	1
11527	Воронихина	NULL	NULL	1
11528	Ворошилова	NULL	NULL	1
11529	Восточная	NULL	NULL	1
11530	Врубеля	NULL	NULL	1
11531	Выборгская	NULL	NULL	1
11532	Высоцкого	NULL	NULL	1
11533	Вьетнамская	NULL	NULL	1
11534	Ген.Лохматикова		16	1
11535	Героев Сибиряков		NULL	1
11536	Героев Стратосферы		NULL	1
11537	Почтовая		13	1
11538	Героев России		5	1
11539	Гагарина	NULL	1	3
11540	Академика Королева		1	1
11541	Германа Титова		8	1
11542	Газетчиков	NULL	NULL	1
11543	Газовая	NULL	NULL	1
11544	Газопроводный	NULL	NULL	3
11545	Гайдара	NULL	NULL	1
11546	Гаражный	NULL	NULL	6
11547	Гаршина	NULL	NULL	1
11548	Гастелло	NULL	NULL	1
11549	Гвардейская	NULL	2	1
11550	Гвардейский	NULL	NULL	3
11551	Геращенко	NULL	NULL	1
