street_id	district_id
11314	1
11315	22
11316	20
11317	23
11318	35
11319	1
11319	22
11319	35
11323	35
11324	31
11327	22
11329	3
11329	32
11330	32
11330	35
11331	3
11331	12
11331	19
11332	1
11332	22
11332	35
11338	30
11339	30
11341	19
11346	11
11346	12
11346	25
11346	32
11346	35
11349	3
11351	35
11352	19
11353	11
11354	35
11355	9
11356	7
11357	24
11358	1
11358	22
11359	7
11361	35
11363	1
11364	31
11367	1
11369	22
11371	38
11372	11
11372	12
11373	23
11374	38
11375	38
11376	12
11376	30
11378	14
11379	35
11380	2
11381	1
11382	23
11383	23
11384	22
11384	35
11387	38
11389	22
11390	22
11393	35
11396	2
11397	23
11397	31
11398	35
11399	19
11400	20
11400	31
11401	31
11402	19
11403	24
11404	9
11405	35
11406	10
11406	20
11407	1
11408	22
11409	35
11410	9
11411	1
11412	9
11413	7
11413	10
11414	35
11415	35
11416	35
11417	22
11417	25
11417	35
11418	3
11418	12
11418	19
11418	24
11418	30
11420	35
11421	35
11422	23
11423	23
11425	1
11425	35
11431	23
11436	4
11437	19
11440	3
11440	30
11441	22
11443	35
11444	1
11444	35
11445	35
11446	22
11448	31
11449	19
11451	15
11451	25
11452	23
11454	23
11455	11
11456	19
11457	23
11459	25
11460	20
11461	15
11461	22
11462	10
11462	20
11463	14
11463	20
11463	31
11465	3
11465	32
11466	3
11468	30
11469	4
11470	35
11471	19
11472	35
11474	35
11475	19
11476	23
11477	23
11478	35
11479	11
11479	12
11480	19
11480	32
11481	9
11485	19
11486	3
11486	32
11487	24
11488	9
11490	3
11491	3
11491	30
11491	32
11492	1
11496	31
11501	1
11502	20
11503	20
11504	8
11505	1
11505	22
11506	3
11506	30
11510	1
11510	22
11511	32
11511	35
11512	19
11513	19
11514	7
11514	10
11514	20
11515	9
11516	9
11517	9
11518	22
11519	9
11520	35
11521	1
11524	11
11524	32
11525	32
11527	9
11528	15
11528	22
11528	25
11528	35
11529	23
11530	22
11531	1
11531	35
11533	9
11535	38
11535	15
11535	13
11542	15
11542	22
11543	11
11543	12
11544	11
11545	11
11545	12
11547	31
11548	4
11550	14
11551	19
11551	32
11552	32
11557	20
11554	19
11555	19
11556	19
11558	35
11561	1
11562	23
11564	22
11565	20
11566	31
11567	35
11568	35
11570	19
11571	1
11571	22
11572	22
11573	22
11574	31
11575	1
11575	22
11576	31
11577	22
11578	11
11578	12
11579	22
11580	31
11582	1
11582	22
11582	35
11583	38
11586	20
11587	19
11588	16
11589	1
11594	35
11595	19
11598	23
11599	23
11600	22
11600	35
11601	1
11603	22
11603	35
11604	35
11605	19
11606	1
11606	22
11607	20
11607	31
11608	10
11608	20
11608	31
11609	11
11610	23
11611	23
11612	1
11614	31
11615	23
11616	11
11618	16
11620	13
11620	15
11621	25
11621	32
11621	35
11622	9
11625	3
11625	30
11625	32
11628	13
11628	25
11628	38
11629	35
11630	9
11631	32
11633	25
11633	32
11637	4
11638	4
11640	35
11642	38
11644	19
11645	23
11647	19
11647	32
11647	35
11648	7
11649	22
11650	4
11651	1
11653	4
11655	35
11656	11
11656	12
11658	11
11658	25
11658	32
11659	11
11659	25
11659	32
11661	19
11662	30
11663	31
11665	22
11666	22
11667	31
11668	31
11671	32
11673	19
11676	1
11679	31
11680	31
11681	14
11682	9
11683	32
11683	35
11687	1
11688	19
11688	24
11697	11
11697	32
11698	8
11699	38
11702	31
11703	20
11704	20
11706	31
11708	25
11708	32
11709	5
11711	31
11713	7
11713	10
11714	35
11716	23
11717	24
11718	7
11719	1
11719	22
11720	19
11721	1
11722	22
11724	35
11727	25
11727	32
11727	35
11728	19
11728	35
11729	4
11730	14
11731	1
11731	22
11733	20
11736	19
11737	23
11738	1
11738	22
11739	35
11740	22
11741	1
11743	35
11744	15
11744	22
11745	22
11746	1
11747	19
11749	1
11749	22
11751	22
11752	1
11752	35
11753	4
11755	27
11756	11
11756	32
11757	1
11758	3
11758	30
11760	22
11760	35
11761	1
11763	4
11765	22
11766	15
11766	22
11767	19
11768	20
11769	1
11769	35
11770	9
11772	9
11773	22
11774	1
11775	19
11778	31
11779	23
11781	35
12773	9
11784	38
11785	19
11786	35
11787	23
11788	35
11790	19
11792	31
11793	1
11793	22
11793	35
11794	22
11795	22
11795	35
11798	13
11798	15
11798	25
11798	32
11800	1
11800	35
11801	19
11803	35
11804	24
11805	9
11806	31
11807	35
11808	22
11809	22
11813	13
11813	15
11813	22
11813	25
11814	9
11815	31
11816	11
11818	3
11818	12
11818	30
11819	31
11820	23
11821	1
11822	31
11823	35
11824	1
11824	22
11824	35
11825	35
11827	11
11827	12
11828	38
11829	1
11829	22
11829	35
11830	22
11831	19
11833	11
11833	12
11834	1
11835	7
11836	11
11836	32
11837	35
11838	4
11840	35
11841	22
11843	15
11844	9
11845	32
11845	35
11846	14
11847	35
11848	1
11848	22
11849	25
11850	1
11851	23
11854	23
11855	23
11856	35
11857	14
11858	31
11859	19
11860	1
11860	22
11861	24
11862	3
11862	30
11864	35
11865	32
11867	1
11867	22
11873	9
11873	14
11874	19
11875	9
11877	1
11883	35
11884	19
11885	14
11885	31
11886	14
11886	31
11887	9
11888	1
11890	23
11891	1
11892	1
11896	17
11900	16
11901	16
11902	16
11905	22
11905	35
11906	35
11907	22
11907	35
11908	22
11908	35
11909	22
11910	19
11911	31
11912	30
11913	19
11916	11
11916	12
11917	22
11918	23
11919	9
11920	1
11921	4
11922	19
11924	23
11925	4
11925	16
11925	17
11931	23
11932	19
11935	1
11935	35
11936	22
11938	1
11938	22
11939	35
11942	38
11944	1
11946	9
11948	4
11948	19
11949	19
11949	35
11950	11
11950	12
11951	1
11953	23
11954	1
11954	22
11955	35
11956	19
11956	35
11957	35
11958	19
11959	22
11961	38
11962	23
11963	1
11964	15
11964	38
11965	1
11965	22
11968	15
11968	22
11969	23
11970	11
11970	32
11971	1
11973	31
11974	19
11974	35
11975	9
11976	14
11977	23
11978	19
11978	24
11979	9
11981	22
11982	5
11982	31
11985	35
11988	4
11988	16
11989	1
11989	22
11990	22
11990	35
11991	22
11992	22
11995	23
11996	23
11997	38
11998	7
11998	10
12000	14
12001	30
12002	35
12003	16
12004	31
12005	3
12005	19
12005	24
12005	30
12005	32
12005	34
12005	35
12007	14
12007	31
12008	23
12009	35
12010	1
12012	38
12017	35
12019	3
12020	22
12020	35
12021	1
12022	35
12023	23
12024	23
12025	3
12025	30
12025	32
12026	1
12027	19
12028	31
12029	31
12030	9
12031	1
12032	1
12033	38
12034	38
12036	14
